Name, State, Phone Number, Link, Care Type
Duke Adult Comprehensive Sickle Cell Center,North Carolina,(919) 620-5300,http://www.dukehealth.org/services/hematology/programs/comprehensive_sickle_cell_center,Adult Care
Duke University - UNC Comprehensive Sickle Cell Center ,North Carolina,(919) 684-6464,http://www.sicklecell.mc.duke.edu/,Adult Care
East Carolina University_ Department of Internal Medicine,North Carolina,(252) 744-1888,https://cancercare.vidanthealth.com/US/Locations/Leo-W--Jenkins-Cancer-Center/,Adult Care
Presbyterian Hospital Sickle Cell Program   ,North Carolina,(704) 384-4139,https://www.novanthealth.org/presbyterian-medical-center/services/sickle-cell.aspx,Adult Care
Wake Forest Baptist Health,North Carolina,(336) 716-9253,http://www.wakehealth.edu/Hematology-and-Oncology/,Adult Care
Forum Health Sickle Cell Program Pediatric and Adult Sickle Cell Care,Oklahoma,(330) 740-3955,http://www.northsidemedicalcenter.net/Pages/home.aspx,Unknown Care
Specialty Care Clinic - Warren County,Oklahoma,(513) 424-2850,http://www.childrensdayton.org/cms/dayton_childrens_services/ebabddf65800a29c/index.html,Unknown Care
University of Cincinnati Medical Center,Oklahoma,(513) 584-1000,http://uchealth.com/university-of-cincinnati-medical-center/services/adult-sickle-cell-center/,Adult Care
Penn State Milton S Hershey Children's Hospital,Pennsylvania,(717)-531-6012,http://www.pennstatehershey.org/web/pedshematology/patientcare/services/hematology/sicklecell,Unknown Care
Temple University Hospital_ Department of Hematology and Thromboembolic Diseases,Pennsylvania,(215) 707-4675,http://tuh.templehealth.org/content/hematology.htm,Adult Care
University of Pittsburgh Medical Center,Pennsylvania,(412) 692-4724,http://www.upmc.com/Services/sickle-cell/Pages/support-services.aspx,Adult Care
Greenville Hospital System,South Carolina,(864) 716-6490,http://www.ghschildrens.org/pediatric-hematology-oncology.php,Unknown Care
Sanford Cancer Center_ Hematology,South Dakota,(605) 328-8000,http://www.sanfordhealth.org/MedicalServices/Specialties/Hematology,Adult Care
Meharry Medical College,Tennessee,(615) 341-4383,http://www.mmc.edu/education/som/centers/clinical-centers/sickle-cell/,Adult Care
Baylor Clinic,Texas,(713) 798-2500,https://www.bcm.edu/healthcare/care-centers/hematology-oncology,Adult Care
James W. Aston Ambulatory Care Center,Texas,(214) 645-8300,http://www.utswmedicine.org/conditions-specialties/medical-genetics/sickle-cell/,Adult Care
JPS Sickle Cell Clinic at JPS Center for Cancer Care,Texas,(817) 702-8300,http://www.jpshealthnet.org/health_care_services/cancer,Adult Care
University of Texas Health Science Center at San Antonio_ South Texas Sickle Cell and Thalassemia Center  ,Texas,NO_PHONE_NUMBER,http://pediatrics.uthscsa.edu/hem-onc/programs_sickle.asp,Unknown Care
Virginia Commonwealth University,Washington,(804) 828-2161 Ext. 7,http://www.paineducation.vcu.edu/resources/clinical.html,Adult Care
Virginia Commonwealth University,Washington,(804) 828-2161 Ext. 7,http://www.paineducation.vcu.edu/resources/clinical.html,Adult Care
Seattle Children's Hospital,Washington,(206) 987-2106,http://www.seattlechildrens.org/clinics-programs/cancer/services/sickle-cell-program/,Unknown Care
Howard University Center for Sickle Cell Disease,Washington D.C.,(202) 865-4583,http://dh.howard.edu/casd/,Unknown Care
Howard University Hospital,Washington D.C.,(202) 865-7592,http://www.sicklecell.howard.edu/default.htm,Adult Care
Sickle Cell Association of the National Capital Area,Washington D.C.,(202) 271-5733,http://www.scancainc.org/,Unknown Care
NO_NAME,West Virginia,NO_PHONE_NUMBER,NO_LINK,Unknown Care
